['Date:20030102', 'Maturity:200301', 'Strike_price:3900', 'CallPut:call', 'close:625']
['Date:20030113', 'Maturity:200301', 'Strike_price:4100', 'CallPut:call', 'close:890']
['Date:20030113', 'Maturity:200301', 'Strike_price:4200', 'CallPut:call', 'close:790']
['Date:20030113', 'Maturity:200301', 'Strike_price:4300', 'CallPut:call', 'close:715']
['Date:20030113', 'Maturity:200301', 'Strike_price:4400', 'CallPut:call', 'close:620']
['Date:20030113', 'Maturity:200301', 'Strike_price:4500', 'CallPut:call', 'close:530']
['Date:20030113', 'Maturity:200301', 'Strike_price:4600', 'CallPut:call', 'close:420']
['Date:20030113', 'Maturity:200301', 'Strike_price:4700', 'CallPut:call', 'close:321']
['Date:20030113', 'Maturity:200301', 'Strike_price:4800', 'CallPut:call', 'close:218']
['Date:20030113', 'Maturity:200301', 'Strike_price:4900', 'CallPut:call', 'close:122']
['Date:20030113', 'Maturity:200301', 'Strike_price:5000', 'CallPut:call', 'close:60']
['Date:20030113', 'Maturity:200301', 'Strike_price:5100', 'CallPut:call', 'close:19.5']
['Date:20030113', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:800']
['Date:20030113', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:700']
['Date:20030113', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:610']
['Date:20030113', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:510']
['Date:20030113', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:425']
['Date:20030113', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:340']
['Date:20030113', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:282']
['Date:20030113', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:232']
['Date:20030113', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:188']
['Date:20030113', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:150']
['Date:20030114', 'Maturity:200301', 'Strike_price:3900', 'CallPut:call', 'close:1090']
['Date:20030114', 'Maturity:200301', 'Strike_price:4000', 'CallPut:call', 'close:990']
['Date:20030114', 'Maturity:200301', 'Strike_price:4100', 'CallPut:call', 'close:890']
['Date:20030114', 'Maturity:200301', 'Strike_price:4200', 'CallPut:call', 'close:790']
['Date:20030114', 'Maturity:200301', 'Strike_price:4300', 'CallPut:call', 'close:700']
['Date:20030114', 'Maturity:200301', 'Strike_price:4400', 'CallPut:call', 'close:600']
['Date:20030114', 'Maturity:200301', 'Strike_price:4500', 'CallPut:call', 'close:500']
['Date:20030114', 'Maturity:200301', 'Strike_price:4600', 'CallPut:call', 'close:400']
['Date:20030114', 'Maturity:200301', 'Strike_price:4700', 'CallPut:call', 'close:300']
['Date:20030114', 'Maturity:200301', 'Strike_price:4800', 'CallPut:call', 'close:202']
['Date:20030114', 'Maturity:200301', 'Strike_price:4900', 'CallPut:call', 'close:108']
['Date:20030114', 'Maturity:200301', 'Strike_price:5000', 'CallPut:call', 'close:37']
['Date:20030114', 'Maturity:200301', 'Strike_price:5100', 'CallPut:call', 'close:10']
['Date:20030114', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:805']
['Date:20030114', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:710']
['Date:20030114', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:620']
['Date:20030114', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:530']
['Date:20030114', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:420']
['Date:20030114', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:340']
['Date:20030114', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:260']
['Date:20030114', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:207']
['Date:20030114', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:163']
['Date:20030114', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:125']
['Date:20030114', 'Maturity:200302', 'Strike_price:5200', 'CallPut:call', 'close:94']
['Date:20030115', 'Maturity:200301', 'Strike_price:3900', 'CallPut:call', 'close:1110']
['Date:20030115', 'Maturity:200301', 'Strike_price:4000', 'CallPut:call', 'close:1010']
['Date:20030115', 'Maturity:200301', 'Strike_price:4100', 'CallPut:call', 'close:915']
['Date:20030115', 'Maturity:200301', 'Strike_price:4200', 'CallPut:call', 'close:815']
['Date:20030115', 'Maturity:200301', 'Strike_price:4300', 'CallPut:call', 'close:715']
['Date:20030115', 'Maturity:200301', 'Strike_price:4400', 'CallPut:call', 'close:630']
['Date:20030115', 'Maturity:200301', 'Strike_price:4500', 'CallPut:call', 'close:525']
['Date:20030115', 'Maturity:200301', 'Strike_price:4600', 'CallPut:call', 'close:430']
['Date:20030115', 'Maturity:200301', 'Strike_price:4700', 'CallPut:call', 'close:325']
['Date:20030115', 'Maturity:200301', 'Strike_price:4800', 'CallPut:call', 'close:228']
['Date:20030115', 'Maturity:200301', 'Strike_price:4900', 'CallPut:call', 'close:130']
['Date:20030115', 'Maturity:200301', 'Strike_price:5000', 'CallPut:call', 'close:37']
['Date:20030115', 'Maturity:200301', 'Strike_price:5100', 'CallPut:call', 'close:3.4']
['Date:20030115', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:825']
['Date:20030115', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:730']
['Date:20030115', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:635']
['Date:20030115', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:540']
['Date:20030115', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:455']
['Date:20030115', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:375']
['Date:20030115', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:294']
['Date:20030115', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:210']
['Date:20030115', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:152']
['Date:20030115', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:113']
['Date:20030115', 'Maturity:200302', 'Strike_price:5200', 'CallPut:call', 'close:81']
['Date:20030116', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:750']
['Date:20030116', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:640']
['Date:20030116', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:555']
['Date:20030116', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:465']
['Date:20030116', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:342']
['Date:20030116', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:252']
['Date:20030116', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:200']
['Date:20030116', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:140']
['Date:20030116', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:98']
['Date:20030116', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:67']
['Date:20030116', 'Maturity:200302', 'Strike_price:5200', 'CallPut:call', 'close:42.5']
['Date:20030116', 'Maturity:200302', 'Strike_price:5300', 'CallPut:call', 'close:26.5']
['Date:20030117', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:715']
['Date:20030117', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:615']
['Date:20030117', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:520']
['Date:20030117', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:431']
['Date:20030117', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:345']
['Date:20030117', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:242']
['Date:20030117', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:186']
['Date:20030117', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:122']
['Date:20030117', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:84']
['Date:20030117', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:55']
['Date:20030117', 'Maturity:200302', 'Strike_price:5200', 'CallPut:call', 'close:34']
['Date:20030117', 'Maturity:200302', 'Strike_price:5300', 'CallPut:call', 'close:20.5']
['Date:20030120', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:765']
['Date:20030120', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:660']
['Date:20030120', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:575']
['Date:20030120', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:470']
['Date:20030120', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:365']
['Date:20030120', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:297']
['Date:20030120', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:216']
['Date:20030120', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:150']
['Date:20030120', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:97']
['Date:20030120', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:63']
['Date:20030120', 'Maturity:200302', 'Strike_price:5200', 'CallPut:call', 'close:39']
['Date:20030120', 'Maturity:200302', 'Strike_price:5300', 'CallPut:call', 'close:23']
['Date:20030121', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:755']
['Date:20030121', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:650']
['Date:20030121', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:555']
['Date:20030121', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:440']
['Date:20030121', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:339']
['Date:20030121', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:269']
['Date:20030121', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:184']
['Date:20030121', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:131']
['Date:20030121', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:90']
['Date:20030121', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:58']
['Date:20030121', 'Maturity:200302', 'Strike_price:5200', 'CallPut:call', 'close:36']
['Date:20030121', 'Maturity:200302', 'Strike_price:5300', 'CallPut:call', 'close:21']
['Date:20030122', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:800']
['Date:20030122', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:700']
['Date:20030122', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:600']
['Date:20030122', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:505']
['Date:20030122', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:395']
['Date:20030122', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:325']
['Date:20030122', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:235']
['Date:20030122', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:171']
['Date:20030122', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:115']
['Date:20030122', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:74']
['Date:20030122', 'Maturity:200302', 'Strike_price:5200', 'CallPut:call', 'close:45']
['Date:20030122', 'Maturity:200302', 'Strike_price:5300', 'CallPut:call', 'close:26']
['Date:20030123', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:885']
['Date:20030123', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:785']
['Date:20030123', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:685']
['Date:20030123', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:590']
['Date:20030123', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:481']
['Date:20030123', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:399']
['Date:20030123', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:310']
['Date:20030123', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:235']
['Date:20030123', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:167']
['Date:20030123', 'Maturity:200302', 'Strike_price:5100', 'CallPut:call', 'close:110']
['Date:20030123', 'Maturity:200302', 'Strike_price:5200', 'CallPut:call', 'close:70']
['Date:20030123', 'Maturity:200302', 'Strike_price:5300', 'CallPut:call', 'close:40.5']
['Date:20030124', 'Maturity:200302', 'Strike_price:4200', 'CallPut:call', 'close:860']
['Date:20030124', 'Maturity:200302', 'Strike_price:4300', 'CallPut:call', 'close:760']
['Date:20030124', 'Maturity:200302', 'Strike_price:4400', 'CallPut:call', 'close:665']
['Date:20030124', 'Maturity:200302', 'Strike_price:4500', 'CallPut:call', 'close:565']
['Date:20030124', 'Maturity:200302', 'Strike_price:4600', 'CallPut:call', 'close:500']
['Date:20030124', 'Maturity:200302', 'Strike_price:4700', 'CallPut:call', 'close:378']
['Date:20030124', 'Maturity:200302', 'Strike_price:4800', 'CallPut:call', 'close:308']
['Date:20030124', 'Maturity:200302', 'Strike_price:4900', 'CallPut:call', 'close:230']
['Date:20030124', 'Maturity:200302', 'Strike_price:5000', 'CallPut:call', 'close:150']
